Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,3,5.91407,0.0211531,1165,,,,
,,,,,,,,,,,,,3,6.00102,0.0211531,1194,,,,
,,,,,,,,,,,,,3,5.82644,0.0352552,1049,,,,
,,,,,,,,,,,,,3,3.07339,0.0916635,1500,,,,
,,,,,,,,,,,,,3,8.13281,0.0564083,1071,,,,
,,,,,,,,,,,,,3,10.5444,0.13397,1235,,,,
,,,,,,,,,,,,,4,13.9338,0.00705104,1268,,,,
,,,,,,,,,,,,,4,13.4114,0.0211531,884,,,,
,,,,,,,,,,,,,4,13.3138,0.0141021,974,,,,
,,,,,,,,,,,,,4,17.842,0.00705104,939,,,,
,,,,,,,,,,,,,4,9.63659,0.0775614,1167,,,,
,,,,,,,,,,,,,4,10.8799,0.0141021,1072,,,,
,,,,,,,,,,,,,4,9.06742,0.0282041,1277,,,,
,,,,,,,,,,,,,4,7.88183,0.0211531,1004,,,,
,,,,,,,,,,,,,4,16.1896,0.359603,1329,,,,
,,,,,,,,,,,,,4,5.2217,0.0211531,1257,,,,
,,,,,,,,,,,,,4,11.9269,0.0775614,1344,,,,
,,,,,,,,,,,,,4,15.1571,0.0352552,1053,,,,
,,,,,,,,,,,,,4,7.90483,0.0141021,962,,,,
,,,,,,,,,,,,,4,6.7298,0.00705104,925,,,,
,,,,,,,,,,,,,4,5.54734,0.0423062,1062,,,,
,,,,,,,,,,,,,4,10.8387,0.0423062,1217,,,,
,,,,,,,,,,,,,4,9.57397,0.00705104,955,,,,
,,,,,,,,,,,,,4,5.00288,0.0846124,1452,,,,
,,,,,,,,,,,,,4,2.13631,0.0493572,1149,,,,
