Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
,,,5,0.565999,0.171882,1.86381,0.842891,0.769027,0.48345,1.00313e+07,9.86804e+07,35.911,35.5615,4,1.52508,1,4.70258,2,0.237669
,,,6,0.545567,0.371981,0.800157,0.793356,0.885965,0.500613,5.9553e+07,9.04802e+07,41.9926,38.9347,5,0.246001,1,1.60082,3,1.86287
,,,7,0.535299,0.198796,1.4414,0.76328,0.782232,0.460377,4.423e+06,1.09563e+08,46.8449,34.2025,6,0.207298,1,0.85481,3,9.84077
,,,7,0.623414,0.212986,1.82475,0.833026,0.769863,0.581518,,1.8327e+08,60.3955,32.52,7,1.56942,1,4.59342,3,30.9535
,,,8,0.673,0.0749533,6.04281,0.904074,0.838064,0.627306,,8.80875e+06,15.2089,8.79909,8,,1,2.92246,3,9.83046
,,,,,,,,,,,,,,,,1,7.14705,4,8.31072
,,,,,,,,,,,,,,,,2,,4,1.61486
,,,,,,,,,,,,,,,,3,2.60924,4,7.32673
,,,,,,,,,,,,,,,,3,4.8658,4,5.19273
,,,,,,,,,,,,,,,,3,3.06045,4,18.0421
,,,,,,,,,,,,,,,,3,2.41841,4,14.1601
,,,,,,,,,,,,,,,,3,1.06402,4,19.337
,,,,,,,,,,,,,,,,3,4.02282,4,18.6936
,,,,,,,,,,,,,,,,3,5.79782,5,24.3176
,,,,,,,,,,,,,,,,3,8.60977,6,
,,,,,,,,,,,,,,,,3,10.1903,7,4.80029
,,,,,,,,,,,,,,,,3,10.0061,7,3.61746
,,,,,,,,,,,,,,,,4,1.90609,7,8.92926
,,,,,,,,,,,,,,,,4,4.60829,7,8.15438
,,,,,,,,,,,,,,,,5,5.31434,8,0.129858
,,,,,,,,,,,,,,,,5,8.86187,,
,,,,,,,,,,,,,,,,5,4.49848,,
,,,,,,,,,,,,,,,,5,1.6863,,
,,,,,,,,,,,,,,,,5,0.551945,,
,,,,,,,,,,,,,,,,5,2.95048,,
,,,,,,,,,,,,,,,,5,5.42998,,
,,,,,,,,,,,,,,,,5,4.47082,,
,,,,,,,,,,,,,,,,5,5.6207,,
,,,,,,,,,,,,,,,,5,2.99465,,
,,,,,,,,,,,,,,,,6,1.83622,,
,,,,,,,,,,,,,,,,6,3.06467,,
,,,,,,,,,,,,,,,,6,0.154952,,
,,,,,,,,,,,,,,,,6,7.46951,,
,,,,,,,,,,,,,,,,6,6.08283,,
,,,,,,,,,,,,,,,,6,3.35907,,
